Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
Clinton County,KY11,KY,11,0,Lake Cumberland Area Development District,21053,0,Not Applicable,,-,KY
Clay County,KY06,KY,6,0,Cumberland Valley Area Development District,21051,0,Not Applicable,,-,KY
Clark County,KY04,KY,4,0,Bluegrass Area Development District,21049,0,"Lexington-Fayette, KY",,472099,KY
Christian County,KY13,KY,13,0,Pennyrile Area Development District,21047,0,"Clarksville, TN-KY",,273949,KY
Casey County,KY11,KY,11,0,Lake Cumberland Area Development District,21045,0,Not Applicable,,-,KY
Carter County,KY07,KY,7,0,Fivco Area Development District,21043,0,Not Applicable,,-,KY
Carroll County,KY15,KY,15,0,Northern Kentucky Area Development District,21041,0,Not Applicable,,-,KY
Carlisle County,KY14,KY,14,0,Purchase Area Development District,21039,0,Not Applicable,,-,KY
Campbell County,OH01,OH,1,0,Ohio-Kentucky-Indiana Regional Council of Governments,21037,0,"Cincinnati, OH-KY-IN",,2130151,OH
Calloway County,KY14,KY,14,0,Purchase Area Development District,21035,0,Not Applicable,,-,KY
Caldwell County,KY13,KY,13,0,Pennyrile Area Development District,21033,0,Not Applicable,,-,KY
Butler County,KY02,KY,2,0,Barren River Area Development District,21031,0,"Bowling Green, KY",,125953,KY
Bullitt County,KY01,KY,1,0,Kentuckiana Regional Development and Planning Commission,21029,0,"Louisville/Jefferson County, KY-IN",,1283566,KY
Breckinridge County,KY12,KY,12,0,Lincoln Trail Area Development District,21027,0,Not Applicable,,-,KY
Breathitt County,KY10,KY,10,0,Kentucky River Area Development District,21025,0,Not Applicable,,-,KY
Bracken County,KY05,KY,5,0,Buffalo Trace Area Development District,21023,0,"Cincinnati, OH-KY-IN",,2130151,KY
Boyle County,KY04,KY,4,0,Bluegrass Area Development District,21021,0,Not Applicable,,-,KY
Boyd County,KY07,KY,7,0,Fivco Area Development District,21019,0,"Huntington-Ashland, WV-KY-OH",,287702,KY
Bourbon County,KY04,KY,4,0,Bluegrass Area Development District,21017,0,"Lexington-Fayette, KY",,472099,KY
Boone County,OH01,OH,1,0,Ohio-Kentucky-Indiana Regional Council of Governments,21015,0,"Cincinnati, OH-KY-IN",,2130151,OH
Bell County,KY06,KY,6,0,Cumberland Valley Area Development District,21013,0,Not Applicable,,-,KY
Bath County,KY08,KY,8,0,Gateway Area Development DIstrict,21011,0,Not Applicable,,-,KY
Barren County,KY02,KY,2,0,Barren River Area Development District,21009,0,Not Applicable,,-,KY
Ballard County,KY14,KY,14,0,Purchase Area Development District,21007,0,Not Applicable,,-,KY
Anderson County,KY04,KY,4,0,Bluegrass Area Development District,21005,0,Not Applicable,,-,KY
Allen County,KY02,KY,2,0,Barren River Area Development District,21003,0,"Bowling Green, KY",,125953,KY
Adair County,KY11,KY,11,0,Lake Cumberland Area Development District,21001,0,Not Applicable,,-,KY
Wyandotte County,KS01,KS,1,0,Mid-America Regional Council,20209,0,"Kansas City, MO-KS",,2035334,KS
Woodson County,KS04,KS,4,0,Southeast Kansas Regional Planning Commission,20207,0,Not Applicable,,-,KS
Wilson County,KS04,KS,4,0,Southeast Kansas Regional Planning Commission,20205,0,Not Applicable,,-,KS
Wichita County,KS05,KS,5,0,Great Plains Development Inc,20203,0,Not Applicable,,-,KS
Washington County,KS02,KS,2,0,North Central Regional Planning Commission,20201,0,Not Applicable,,-,KS
Wallace County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20199,0,Not Applicable,,-,KS
Wabaunsee County,KS07,KS,7,0,Flint Hills Economic Development District,20197,0,"Topeka, KS",,233870,KS
Trego County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20195,0,Not Applicable,,-,KS
Thomas County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20193,0,Not Applicable,,-,KS
Sumner County,KS03,KS,3,0,South Central Kansas Economic Development District,20191,0,"Wichita, KS",,623061,KS
Stevens County,KS05,KS,5,0,Great Plains Development Inc,20189,0,Not Applicable,,-,KS
Stanton County,KS05,KS,5,0,Great Plains Development Inc,20187,0,Not Applicable,,-,KS
Stafford County,KS05,KS,5,0,Great Plains Development Inc,20185,0,Not Applicable,,-,KS
Smith County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20183,0,Not Applicable,,-,KS
Sherman County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20181,0,Not Applicable,,-,KS
Sheridan County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20179,0,Not Applicable,,-,KS
Shawnee County,KS51,KS,51,0,Metropolitan Topeka Planning Organization,20177,0,"Topeka, KS",,233870,KS
Seward County,KS05,KS,5,0,Great Plains Development Inc,20175,0,Not Applicable,,-,KS
Sedgwick County,KS03,KS,3,0,South Central Kansas Economic Development District,20173,0,"Wichita, KS",,623061,KS
Scott County,KS05,KS,5,0,Great Plains Development Inc,20171,0,Not Applicable,,-,KS
Saline County,KS02,KS,2,0,North Central Regional Planning Commission,20169,0,Not Applicable,,-,KS
Russell County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20167,0,Not Applicable,,-,KS
Rush County,KS05,KS,5,0,Great Plains Development Inc,20165,0,Not Applicable,,-,KS
Rooks County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20163,0,Not Applicable,,-,KS
Riley County,KS07,KS,7,0,Flint Hills Economic Development District,20161,0,"Manhattan, KS",,127081,KS
Rice County,KS03,KS,3,0,South Central Kansas Economic Development District,20159,0,Not Applicable,,-,KS
Republic County,KS02,KS,2,0,North Central Regional Planning Commission,20157,0,Not Applicable,,-,KS
Reno County,KS03,KS,3,0,South Central Kansas Economic Development District,20155,0,Not Applicable,,-,KS
Rawlins County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20153,0,Not Applicable,,-,KS
Pratt County,KS05,KS,5,0,Great Plains Development Inc,20151,0,Not Applicable,,-,KS
Pottawatomie County,KS07,KS,7,0,Flint Hills Economic Development District,20149,0,"Manhattan, KS",,127081,KS
Phillips County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20147,0,Not Applicable,,-,KS
Pawnee County,KS05,KS,5,0,Great Plains Development Inc,20145,0,Not Applicable,,-,KS
Ottawa County,KS02,KS,2,0,North Central Regional Planning Commission,20143,0,Not Applicable,,-,KS
Osborne County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20141,0,Not Applicable,,-,KS
Osage County,KS99,KS,99,0,Unattached,20139,0,"Topeka, KS",,233870,KS
Norton County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20137,0,Not Applicable,,-,KS
Ness County,KS05,KS,5,0,Great Plains Development Inc,20135,0,Not Applicable,,-,KS
Neosho County,KS04,KS,4,0,Southeast Kansas Regional Planning Commission,20133,0,Not Applicable,,-,KS
Nemaha County,KS99,KS,99,0,Unattached,20131,0,Not Applicable,,-,KS
Morton County,KS05,KS,5,0,Great Plains Development Inc,20129,0,Not Applicable,,-,KS
Morris County,KS07,KS,7,0,Flint Hills Economic Development District,20127,0,Not Applicable,,-,KS
Montgomery County,KS04,KS,4,0,Southeast Kansas Regional Planning Commission,20125,0,Not Applicable,,-,KS
Mitchell County,KS02,KS,2,0,North Central Regional Planning Commission,20123,0,Not Applicable,,-,KS
Miami County,KS01,KS,1,0,Mid-America Regional Council,20121,0,"Kansas City, MO-KS",,2035334,KS
Meade County,KS05,KS,5,0,Great Plains Development Inc,20119,0,Not Applicable,,-,KS
Marshall County,KS02,KS,2,0,North Central Regional Planning Commission,20117,0,Not Applicable,,-,KS
Marion County,KS03,KS,3,0,South Central Kansas Economic Development District,20115,0,Not Applicable,,-,KS
McPherson County,KS03,KS,3,0,South Central Kansas Economic Development District,20113,0,Not Applicable,,-,KS
Lyon County,KS07,KS,7,0,Flint Hills Economic Development District,20111,0,Not Applicable,,-,KS
Logan County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20109,0,Not Applicable,,-,KS
Linn County,KS04,KS,4,0,Southeast Kansas Regional Planning Commission,20107,0,"Kansas City, MO-KS",,2035334,KS
Lincoln County,KS02,KS,2,0,North Central Regional Planning Commission,20105,0,Not Applicable,,-,KS
Leavenworth County,KS01,KS,1,0,Mid-America Regional Council,20103,0,"Kansas City, MO-KS",,2035334,KS
Lane County,KS05,KS,5,0,Great Plains Development Inc,20101,0,Not Applicable,,-,KS
Labette County,KS04,KS,4,0,Southeast Kansas Regional Planning Commission,20099,0,Not Applicable,,-,KS
Kiowa County,KS05,KS,5,0,Great Plains Development Inc,20097,0,Not Applicable,,-,KS
Kingman County,KS03,KS,3,0,South Central Kansas Economic Development District,20095,0,"Wichita, KS",,623061,KS
Kearny County,KS05,KS,5,0,Great Plains Development Inc,20093,0,Not Applicable,,-,KS
Johnson County,KS01,KS,1,0,Mid-America Regional Council,20091,0,"Kansas City, MO-KS",,2035334,KS
Jewell County,KS02,KS,2,0,North Central Regional Planning Commission,20089,0,Not Applicable,,-,KS
Jefferson County,KS99,KS,99,0,Unattached,20087,0,"Topeka, KS",,233870,KS
Jackson County,KS99,KS,99,0,Unattached,20085,0,"Topeka, KS",,233870,KS
Hodgeman County,KS05,KS,5,0,Great Plains Development Inc,20083,0,Not Applicable,,-,KS
Haskell County,KS05,KS,5,0,Great Plains Development Inc,20081,0,Not Applicable,,-,KS
Harvey County,KS03,KS,3,0,South Central Kansas Economic Development District,20079,0,"Wichita, KS",,623061,KS
Harper County,KS03,KS,3,0,South Central Kansas Economic Development District,20077,0,Not Applicable,,-,KS
Hamilton County,KS05,KS,5,0,Great Plains Development Inc,20075,0,Not Applicable,,-,KS
Greenwood County,KS03,KS,3,0,South Central Kansas Economic Development District,20073,0,Not Applicable,,-,KS
Greeley County,KS05,KS,5,0,Great Plains Development Inc,20071,0,Not Applicable,,-,KS
Gray County,KS05,KS,5,0,Great Plains Development Inc,20069,0,Not Applicable,,-,KS
Grant County,KS05,KS,5,0,Great Plains Development Inc,20067,0,Not Applicable,,-,KS
Graham County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20065,0,Not Applicable,,-,KS
Gove County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20063,0,Not Applicable,,-,KS
Geary County,KS07,KS,7,0,Flint Hills Economic Development District,20061,0,Not Applicable,,-,KS
Franklin County,KS99,KS,99,0,Unattached,20059,0,Not Applicable,,-,KS
Ford County,KS05,KS,5,0,Great Plains Development Inc,20057,0,Not Applicable,,-,KS
Finney County,KS05,KS,5,0,Great Plains Development Inc,20055,0,Not Applicable,,-,KS
Ellsworth County,KS02,KS,2,0,North Central Regional Planning Commission,20053,0,Not Applicable,,-,KS
Ellis County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20051,0,Not Applicable,,-,KS
Elk County,KS03,KS,3,0,South Central Kansas Economic Development District,20049,0,Not Applicable,,-,KS
Edwards County,KS05,KS,5,0,Great Plains Development Inc,20047,0,Not Applicable,,-,KS
Douglas County,KS50,KS,50,0,Lawrence-Douglas County Metropolitan Planning Office,20045,0,"Lawrence, KS",,110826,KS
Doniphan County,MO06,MO,6,0,Mo-Kan Regional Council,20043,0,"St. Joseph, MO-KS",,127329,MO
Dickinson County,KS02,KS,2,0,North Central Regional Planning Commission,20041,0,Not Applicable,,-,KS
Decatur County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20039,0,Not Applicable,,-,KS
Crawford County,KS04,KS,4,0,Southeast Kansas Regional Planning Commission,20037,0,Not Applicable,,-,KS
Cowley County,KS03,KS,3,0,South Central Kansas Economic Development District,20035,0,Not Applicable,,-,KS
Comanche County,KS05,KS,5,0,Great Plains Development Inc,20033,0,Not Applicable,,-,KS
Coffey County,KS04,KS,4,0,Southeast Kansas Regional Planning Commission,20031,0,Not Applicable,,-,KS
Cloud County,KS02,KS,2,0,North Central Regional Planning Commission,20029,0,Not Applicable,,-,KS
Clay County,KS02,KS,2,0,North Central Regional Planning Commission,20027,0,Not Applicable,,-,KS
Clark County,KS05,KS,5,0,Great Plains Development Inc,20025,0,Not Applicable,,-,KS
Cheyenne County,KS06,KS,6,0,Northwest Kansan Planning and Development Commission,20023,0,Not Applicable,,-,KS
Cherokee County,KS04,KS,4,0,Southeast Kansas Regional Planning Commission,20021,0,Not Applicable,,-,KS
Chautauqua County,KS03,KS,3,0,South Central Kansas Economic Development District,20019,0,Not Applicable,,-,KS
Chase County,KS07,KS,7,0,Flint Hills Economic Development District,20017,0,Not Applicable,,-,KS
Butler County,KS03,KS,3,0,South Central Kansas Economic Development District,20015,0,"Wichita, KS",,623061,KS
Brown County,MO06,MO,6,0,Mo-Kan Regional Council,20013,0,Not Applicable,,-,MO
Bourbon County,KS04,KS,4,0,Southeast Kansas Regional Planning Commission,20011,0,Not Applicable,,-,KS
Barton County,KS05,KS,5,0,Great Plains Development Inc,20009,0,Not Applicable,,-,KS
Barber County,KS05,KS,5,0,Great Plains Development Inc,20007,0,Not Applicable,,-,KS
Atchison County,MO06,MO,6,0,Mo-Kan Regional Council,20005,0,Not Applicable,,-,MO
Anderson County,KS04,KS,4,0,Southeast Kansas Regional Planning Commission,20003,0,Not Applicable,,-,KS
Allen County,KS04,KS,4,0,Southeast Kansas Regional Planning Commission,20001,0,Not Applicable,,-,KS
Wright County,IA07,IA,7,0,MIDAS Council of Governments,19197,0,Not Applicable,,-,IA
Worth County,IA08,IA,8,0,North Iowa Area Council of Governments,19195,0,Not Applicable,,-,IA
Woodbury County,IA12,IA,12,0,Siouxland Interstate Metropolitan Planning Council,19193,0,"Sioux City, IA-NE-SD",,143577,IA
Winneshiek County,IA16,IA,16,0,Upper Explorerland Regional Planning Commission,19191,0,Not Applicable,,-,IA
Winnebago County,IA08,IA,8,0,North Iowa Area Council of Governments,19189,0,Not Applicable,,-,IA
Webster County,IA07,IA,7,0,MIDAS Council of Governments,19187,0,Not Applicable,,-,IA
Wayne County,IA03,IA,3,0,Chariton Valley Planning & Development Council of Governments,19185,0,Not Applicable,,-,IA
Washington County,IA05,IA,5,0,East Central Iowa Council of Governments,19183,0,"Iowa City, IA",,152586,IA
Warren County,IA50,IA,50,0,Des Moines Area MPO,19181,0,"Des Moines-West Des Moines, IA",,569633,IA
Wapello County,IA01,IA,1,0,Area 15 Regional Planning Commission,19179,0,Not Applicable,,-,IA
Van Buren County,IA01,IA,1,0,Area 15 Regional Planning Commission,19177,0,Not Applicable,,-,IA
Union County,IA14,IA,14,0,Southern Iowa Council of Governments,19175,0,Not Applicable,,-,IA
Taylor County,IA14,IA,14,0,Southern Iowa Council of Governments,19173,0,Not Applicable,,-,IA
Tama County,IA05,IA,5,0,East Central Iowa Council of Governments,19171,0,Not Applicable,,-,IA
Story County,IA51,IA,51,0,Ames Area MPO,19169,0,"Ames, IA",,89542,IA
Sioux County,IA09,IA,9,0,Northwest Iowa Planning and Development Commission,19167,0,Not Applicable,,-,IA
Shelby County,IA15,IA,15,0,Southwest Iowa Planning Council,19165,0,Not Applicable,,-,IA
Scott County,IA02,IA,2,0,Bi-State Regional Commission,19163,0,"Davenport-Moline-Rock Island, IA-IL",,379690,IA
Sac County,IA11,IA,11,0,Region XII Council of Governments,19161,0,Not Applicable,,-,IA
Ringgold County,IA14,IA,14,0,Southern Iowa Council of Governments,19159,0,Not Applicable,,-,IA
Poweshiek County,IA10,IA,10,0,Region 6 Planning Commission,19157,0,Not Applicable,,-,IA
Pottawattamie County,IA15,IA,15,NE01,Southwest Iowa Planning Council,19155,0,"Omaha-Council Bluffs, NE-IA",,865350,IA
Polk County,IA50,IA,50,0,Des Moines Area MPO,19153,0,"Des Moines-West Des Moines, IA",,569633,IA
Pocahontas County,IA07,IA,7,0,MIDAS Council of Governments,19151,0,Not Applicable,,-,IA
Plymouth County,IA12,IA,12,0,Siouxland Interstate Metropolitan Planning Council,19149,0,"Sioux City, IA-NE-SD",,143577,IA
Palo Alto County,IA09,IA,9,0,Northwest Iowa Planning and Development Commission,19147,0,Not Applicable,,-,IA
Page County,IA15,IA,15,0,Southwest Iowa Planning Council,19145,0,Not Applicable,,-,IA
Osceola County,IA09,IA,9,0,Northwest Iowa Planning and Development Commission,19143,0,Not Applicable,,-,IA
O'Brien County,IA09,IA,9,0,Northwest Iowa Planning and Development Commission,19141,0,Not Applicable,,-,IA
Muscatine County,IA02,IA,2,0,Bi-State Regional Commission,19139,0,Not Applicable,,-,IA
Montgomery County,IA15,IA,15,0,Southwest Iowa Planning Council,19137,0,Not Applicable,,-,IA
Monroe County,IA03,IA,3,0,Chariton Valley Planning & Development Council of Governments,19135,0,Not Applicable,,-,IA
Monona County,IA12,IA,12,0,Siouxland Interstate Metropolitan Planning Council,19133,0,Not Applicable,,-,IA
Mitchell County,IA08,IA,8,0,North Iowa Area Council of Governments,19131,0,Not Applicable,,-,IA
Mills County,IA15,IA,15,NE01,Southwest Iowa Planning Council,19129,0,"Omaha-Council Bluffs, NE-IA",,865350,IA
Marshall County,IA10,IA,10,0,Region 6 Planning Commission,19127,0,Not Applicable,,-,IA
Marion County,IA99,IA,99,0,Unattached,19125,0,Not Applicable,,-,IA
Mahaska County,IA01,IA,1,0,Area 15 Regional Planning Commission,19123,0,Not Applicable,,-,IA
Madison County,IA14,IA,14,0,Southern Iowa Council of Governments,19121,0,"Des Moines-West Des Moines, IA",,569633,IA
Lyon County,IA09,IA,9,0,Northwest Iowa Planning and Development Commission,19119,0,Not Applicable,,-,IA
Lucas County,IA03,IA,3,0,Chariton Valley Planning & Development Council of Governments,19117,0,Not Applicable,,-,IA
Louisa County,IA13,IA,13,0,Southeast Iowa Regional Planning Commission,19115,0,Not Applicable,,-,IA
Linn County,IA05,IA,5,0,East Central Iowa Council of Governments,19113,0,"Cedar Rapids, IA",,257940,IA
Lee County,IA13,IA,13,0,Southeast Iowa Regional Planning Commission,19111,0,Not Applicable,,-,IA
Kossuth County,IA08,IA,8,0,North Iowa Area Council of Governments,19109,0,Not Applicable,,-,IA
Keokuk County,IA01,IA,1,0,Area 15 Regional Planning Commission,19107,0,Not Applicable,,-,IA
Jones County,IA05,IA,5,0,East Central Iowa Council of Governments,19105,0,"Cedar Rapids, IA",,257940,IA
Johnson County,IA05,IA,5,0,East Central Iowa Council of Governments,19103,0,"Iowa City, IA",,152586,IA
Jefferson County,IA01,IA,1,0,Area 15 Regional Planning Commission,19101,0,Not Applicable,,-,IA
Jasper County,IA99,IA,99,0,Unattached,19099,0,Not Applicable,,-,IA
Jackson County,IA04,IA,4,0,East Central Intergovernmental Association,19097,0,Not Applicable,,-,IA
Iowa County,IA05,IA,5,0,East Central Iowa Council of Governments,19095,0,Not Applicable,,-,IA
Ida County,IA12,IA,12,0,Siouxland Interstate Metropolitan Planning Council,19093,0,Not Applicable,,-,IA
Humboldt County,IA07,IA,7,0,MIDAS Council of Governments,19091,0,Not Applicable,,-,IA
Howard County,IA16,IA,16,0,Upper Explorerland Regional Planning Commission,19089,0,Not Applicable,,-,IA
Henry County,IA13,IA,13,0,Southeast Iowa Regional Planning Commission,19087,0,Not Applicable,,-,IA
Harrison County,IA15,IA,15,0,Southwest Iowa Planning Council,19085,0,"Omaha-Council Bluffs, NE-IA",,865350,IA
Hardin County,IA10,IA,10,0,Region 6 Planning Commission,19083,0,Not Applicable,,-,IA
Hancock County,IA08,IA,8,0,North Iowa Area Council of Governments,19081,0,Not Applicable,,-,IA
Hamilton County,IA07,IA,7,0,MIDAS Council of Governments,19079,0,Not Applicable,,-,IA
Guthrie County,IA11,IA,11,0,Region XII Council of Governments,19077,0,"Des Moines-West Des Moines, IA",,569633,IA
Grundy County,IA06,IA,6,0,Iowa Northland Regional Council of Governments,19075,0,"Waterloo-Cedar Falls, IA",,167819,IA
Greene County,IA11,IA,11,0,Region XII Council of Governments,19073,0,Not Applicable,,-,IA
Fremont County,IA15,IA,15,0,Southwest Iowa Planning Council,19071,0,Not Applicable,,-,IA
Franklin County,IA08,IA,8,0,North Iowa Area Council of Governments,19069,0,Not Applicable,,-,IA
Floyd County,IA08,IA,8,0,North Iowa Area Council of Governments,19067,0,Not Applicable,,-,IA
Fayette County,IA16,IA,16,0,Upper Explorerland Regional Planning Commission,19065,0,Not Applicable,,-,IA
Emmet County,IA09,IA,9,0,Northwest Iowa Planning and Development Commission,19063,0,Not Applicable,,-,IA
Dubuque County,IA04,IA,4,0,East Central Intergovernmental Association,19061,0,"Dubuque, IA",,93653,IA
Dickinson County,IA09,IA,9,0,Northwest Iowa Planning and Development Commission,19059,0,Not Applicable,,-,IA
Des Moines County,IA13,IA,13,0,Southeast Iowa Regional Planning Commission,19057,0,Not Applicable,,-,IA
Delaware County,IA04,IA,4,0,East Central Intergovernmental Association,19055,0,Not Applicable,,-,IA
Decatur County,IA14,IA,14,0,Southern Iowa Council of Governments,19053,0,Not Applicable,,-,IA
Davis County,IA01,IA,1,0,Area 15 Regional Planning Commission,19051,0,Not Applicable,,-,IA
Dallas County,IA11,IA,11,0,Region XII Council of Governments,19049,0,"Des Moines-West Des Moines, IA",,569633,IA
Crawford County,IA11,IA,11,0,Region XII Council of Governments,19047,0,Not Applicable,,-,IA
Clinton County,IA04,IA,4,0,East Central Intergovernmental Association,19045,0,Not Applicable,,-,IA
Clayton County,IA16,IA,16,0,Upper Explorerland Regional Planning Commission,19043,0,Not Applicable,,-,IA
Clay County,IA09,IA,9,0,Northwest Iowa Planning and Development Commission,19041,0,Not Applicable,,-,IA
Clarke County,IA14,IA,14,0,Southern Iowa Council of Governments,19039,0,Not Applicable,,-,IA
Chickasaw County,IA06,IA,6,0,Iowa Northland Regional Council of Governments,19037,0,Not Applicable,,-,IA
Cherokee County,IA12,IA,12,0,Siouxland Interstate Metropolitan Planning Council,19035,0,Not Applicable,,-,IA
Cerro Gordo County,IA08,IA,8,0,North Iowa Area Council of Governments,19033,0,Not Applicable,,-,IA
Cedar County,IA04,IA,4,0,East Central Intergovernmental Association,19031,0,Not Applicable,,-,IA
Cass County,IA15,IA,15,0,Southwest Iowa Planning Council,19029,0,Not Applicable,,-,IA
Carroll County,IA11,IA,11,0,Region XII Council of Governments,19027,0,Not Applicable,,-,IA
Calhoun County,IA07,IA,7,0,MIDAS Council of Governments,19025,0,Not Applicable,,-,IA
Butler County,IA06,IA,6,0,Iowa Northland Regional Council of Governments,19023,0,Not Applicable,,-,IA
Buena Vista County,IA09,IA,9,0,Northwest Iowa Planning and Development Commission,19021,0,Not Applicable,,-,IA
Buchanan County,IA06,IA,6,0,Iowa Northland Regional Council of Governments,19019,0,Not Applicable,,-,IA
Bremer County,IA06,IA,6,0,Iowa Northland Regional Council of Governments,19017,0,"Waterloo-Cedar Falls, IA",,167819,IA
Boone County,IA99,IA,99,0,Unattached,19015,0,Not Applicable,,-,IA
Black Hawk County,IA06,IA,6,0,Iowa Northland Regional Council of Governments,19013,0,"Waterloo-Cedar Falls, IA",,167819,IA
Benton County,IA05,IA,5,0,East Central Iowa Council of Governments,19011,0,"Cedar Rapids, IA",,257940,IA
Audubon County,IA11,IA,11,0,Region XII Council of Governments,19009,0,Not Applicable,,-,IA
Appanoose County,IA03,IA,3,0,Chariton Valley Planning & Development Council of Governments,19007,0,Not Applicable,,-,IA
Allamakee County,IA16,IA,16,0,Upper Explorerland Regional Planning Commission,19005,0,Not Applicable,,-,IA
Adams County,IA14,IA,14,0,Southern Iowa Council of Governments,19003,0,Not Applicable,,-,IA
Adair County,IA14,IA,14,0,Southern Iowa Council of Governments,19001,0,Not Applicable,,-,IA
Whitley County,IN08,IN,8,0,Regiona III-A Economic Dev District and Regional Planning Commission,18183,0,"Fort Wayne, IN",,416257,IN
White County,IN03,IN,3,0,Kankakee-Iroquios Regional Planning Commission,18181,0,Not Applicable,,-,IN
Wells County,IN06,IN,6,0,Northeastern Indiana Regional Coordinating Council,18179,0,"Fort Wayne, IN",,416257,IN
Wayne County,IN15,IN,15,0,Eastern Indiana Planning Commission,18177,0,Not Applicable,,-,IN
Washington County,IN14,IN,14,0,River Hills Economic Development District and Regional Planning Commission,18175,0,"Louisville/Jefferson County, KY-IN",,1283566,IN
Warrick County,IN16,IN,16,0,Economic Development Coalition of SW Indiana,18173,0,"Evansville, IN-KY",,358676,IN
Warren County,IN03,IN,3,0,Kankakee-Iroquios Regional Planning Commission,18171,0,Not Applicable,,-,IN
Wabash County,IN08,IN,8,0,Regiona III-A Economic Dev District and Regional Planning Commission,18169,0,Not Applicable,,-,IN
Vigo County,IN11,IN,11,0,West Central Indiana Economic Development District,18167,0,"Terre Haute, IN",,172425,IN
Vermillion County,IN11,IN,11,0,West Central Indiana Economic Development District,18165,0,"Terre Haute, IN",,172425,IN
Vanderburgh County,IN16,IN,16,0,Economic Development Coalition of SW Indiana,18163,0,"Evansville, IN-KY",,358676,IN
Union County,IN15,IN,15,0,Eastern Indiana Planning Commission,18161,0,"Cincinnati, OH-KY-IN",,2130151,IN
Tipton County,IN12,IN,12,0,North Central Indiana Regional Planning Council,18159,0,Not Applicable,,-,IN
Tippecanoe County,IN13,IN,13,0,Area Plan Commission of Tippecanoe County,18157,0,"Lafayette, IN",,201789,IN
Switzerland County,IN09,IN,9,0,Southeastern Indiana Regional Planning Commission,18155,0,Not Applicable,,-,IN
Sullivan County,IN11,IN,11,0,West Central Indiana Economic Development District,18153,0,"Terre Haute, IN",,172425,IN
Steuben County,IN08,IN,8,0,Regiona III-A Economic Dev District and Regional Planning Commission,18151,0,Not Applicable,,-,IN
Starke County,IN03,IN,3,0,Kankakee-Iroquios Regional Planning Commission,18149,0,Not Applicable,,-,IN
Spencer County,IN02,IN,2,0,Indiana 15 Regional Planning Commission,18147,0,Not Applicable,,-,IN
Shelby County,IN09,IN,9,0,Southeastern Indiana Regional Planning Commission,18145,0,"Indianapolis-Carmel, IN",,1756241,IN
Scott County,IN14,IN,14,0,River Hills Economic Development District and Regional Planning Commission,18143,0,"Louisville/Jefferson County, KY-IN",,1283566,IN
St. Joseph County,IN05,IN,5,0,Michiana Area Council of Governments,18141,0,"South Bend-Mishawaka, IN-MI",,319224,IN
Rush County,IN15,IN,15,0,Eastern Indiana Planning Commission,18139,0,Not Applicable,,-,IN
Ripley County,IN09,IN,9,0,Southeastern Indiana Regional Planning Commission,18137,0,Not Applicable,,-,IN
Randolph County,IN15,IN,15,0,Eastern Indiana Planning Commission,18135,0,Not Applicable,,-,IN
Putnam County,IN11,IN,11,0,West Central Indiana Economic Development District,18133,0,"Indianapolis-Carmel, IN",,1756241,IN
Pulaski County,IN03,IN,3,0,Kankakee-Iroquios Regional Planning Commission,18131,0,Not Applicable,,-,IN
Posey County,IN16,IN,16,0,Economic Development Coalition of SW Indiana,18129,0,"Evansville, IN-KY",,358676,IN
Porter County,IN07,IN,7,0,Northwestern Indiana Regional Planning Commission,18127,0,"Chicago-Naperville-Elgin, IL-IN-WI",,9461105,IN
Pike County,IN02,IN,2,0,Indiana 15 Regional Planning Commission,18125,0,Not Applicable,,-,IN
Perry County,IN02,IN,2,0,Indiana 15 Regional Planning Commission,18123,0,Not Applicable,,-,IN
Parke County,IN11,IN,11,0,West Central Indiana Economic Development District,18121,0,Not Applicable,,-,IN
Owen County,IN99,IN,99,0,Unattached,18119,0,"Bloomington, IN",,192714,IN
Orange County,IN02,IN,2,0,Indiana 15 Regional Planning Commission,18117,0,Not Applicable,,-,IN
Ohio County,IN09,IN,9,0,Southeastern Indiana Regional Planning Commission,18115,0,"Cincinnati, OH-KY-IN",,2130151,IN
Noble County,IN08,IN,8,0,Regiona III-A Economic Dev District and Regional Planning Commission,18113,0,Not Applicable,,-,IN
Newton County,IN03,IN,3,0,Kankakee-Iroquios Regional Planning Commission,18111,0,"Chicago-Naperville-Elgin, IL-IN-WI",,9461105,IN
Morgan County,IN50,IN,50,0,Indianapolis Metropolitan Planning Organization,18109,0,"Indianapolis-Carmel, IN",,1756241,IN
