Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
Bridgewater town,CT09,CT,9,0,Western Connecticut Council of Governments,508210,1,"Bridgeport-Stamford-Norwalk, CT",908210,916829,CT
Berkley town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,505280,1,"Boston-Cambridge-Quincy, MA-NH",2505280,4552402,MA
Bethlehem town,CT04,CT,4,0,Naugatuck Valley Council of Governments,504930,1,"Bridgeport-Stamford-Norwalk, CT",904930,916829,CT
Barnet town,VT06,VT,6,0,Northeastern Vermont Development Association,502875,1,Not Applicable,5002875,-,VT
Barkhamsted town,CT06,CT,6,0,Northwest Hills Council of Governments,502760,1,"Hartford-West Hartford-East Hartford, CT",902760,1212381,CT
Attleboro city,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,502690,1,"Providence-New Bedford-Fall River, RI-MA",2502690,1600852,MA
Alstead,NH07,NH,7,0,Southwest Region Planning Commission,500820,1,Not Applicable,3300820,-,Al
Acushnet town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,500520,1,"Boston-Cambridge-Quincy, MA-NH",2500520,4552402,MA
County subdivisions not defined,RI75,RI,75,0,State of Rhode Island,500000,1,Not Applicable,4400000,-,RI
Windsor Locks town,CT01,CT,1,0,Capital Region Council of Governments,387070,1,"Springfield, MA",987070,692942,CT
Windsor town,CT01,CT,1,0,Capital Region Council of Governments,387000,1,"Hartford-West Hartford-East Hartford, CT",987000,1212381,CT
Wolfeboro,NH09,NH,9,0,Lakes Region Planning Commission,386420,1,Not Applicable,3386420,-,Wo
